fee_receipt_no,enrollment_id,semester_fee,registration_date,student_name,fee_status
INV-EDUC-00001,ORD-EDUC-EX-00001,"₹ 3,500.00",01-Aug-2026,Client_EDUC_1,paid
INV-EDUC-00002,ORD-EDUC-EX-00002,"₹ 5,965.00",02-Aug-2026,Client_EDUC_2,paid
INV-EDUC-00003,ORD-EDUC-EX-00003,"₹ 8,430.00",03-Aug-2026,Client_EDUC_3,paid
INV-EDUC-00004,ORD-EDUC-EX-00004,"₹ 10,895.00",04-Aug-2026,Client_EDUC_4,paid
INV-EDUC-00005,ORD-EDUC-EX-00005,"₹ 13,360.00",05-Aug-2026,Client_EDUC_5,paid
INV-EDUC-00006,ORD-EDUC-EX-00006,"₹ 15,825.00",06-Aug-2026,Client_EDUC_6,paid
INV-EDUC-00007,ORD-EDUC-EX-00007,"₹ 18,290.00",07-Aug-2026,Client_EDUC_7,paid
INV-EDUC-00008,ORD-EDUC-EX-00008,"₹ 20,755.00",08-Aug-2026,Client_EDUC_8,paid
INV-EDUC-00009,ORD-EDUC-EX-00009,"₹ 23,220.00",09-Aug-2026,Client_EDUC_9,paid
INV-EDUC-00010,ORD-EDUC-EX-00010,"₹ 25,685.00",10-Aug-2026,Client_EDUC_10,paid
INV-EDUC-00011,ORD-EDUC-EX-00011,"₹ 28,150.00",11-Aug-2026,Client_EDUC_11,paid
INV-EDUC-00012,ORD-EDUC-EX-00012,"₹ 30,615.00",12-Aug-2026,Client_EDUC_12,paid
INV-EDUC-00013,ORD-EDUC-EX-00013,"₹ 33,080.00",13-Aug-2026,Client_EDUC_13,paid
INV-EDUC-00014,ORD-EDUC-EX-00014,"₹ 35,545.00",14-Aug-2026,Client_EDUC_14,paid
INV-EDUC-00015,ORD-EDUC-EX-00015,"₹ 38,010.00",15-Aug-2026,Client_EDUC_15,paid
INV-EDUC-00016,ORD-EDUC-EX-00016,"₹ 40,475.00",16-Aug-2026,Client_EDUC_16,paid
INV-EDUC-00017,ORD-EDUC-EX-00017,"₹ 42,940.00",17-Aug-2026,Client_EDUC_17,paid
INV-EDUC-00018,ORD-EDUC-EX-00018,"₹ 45,405.00",18-Aug-2026,Client_EDUC_18,paid
INV-EDUC-00019,ORD-EDUC-EX-00019,"₹ 47,870.00",19-Aug-2026,Client_EDUC_19,paid
INV-EDUC-00020,ORD-EDUC-EX-00020,"₹ 50,335.00",20-Aug-2026,Client_EDUC_20,paid
INV-EDUC-00021,ORD-EDUC-EX-00021,"₹ 52,800.00",21-Aug-2026,Client_EDUC_21,paid
INV-EDUC-00022,ORD-EDUC-EX-00022,"₹ 55,265.00",22-Aug-2026,Client_EDUC_22,paid
INV-EDUC-00023,ORD-EDUC-EX-00023,"₹ 57,730.00",23-Aug-2026,Client_EDUC_23,paid
INV-EDUC-00024,ORD-EDUC-EX-00024,"₹ 60,195.00",24-Aug-2026,Client_EDUC_24,paid
INV-EDUC-00025,ORD-EDUC-EX-00025,"₹ 62,660.00",25-Aug-2026,Client_EDUC_25,paid
INV-EDUC-00026,ORD-EDUC-EX-00026,"₹ 65,125.00",01-Aug-2026,Client_EDUC_26,paid
INV-EDUC-00027,ORD-EDUC-EX-00027,"₹ 67,590.00",02-Aug-2026,Client_EDUC_27,paid
INV-EDUC-00028,ORD-EDUC-EX-00028,"₹ 70,055.00",03-Aug-2026,Client_EDUC_28,paid
INV-EDUC-00029,ORD-EDUC-EX-00029,"₹ 72,520.00",04-Aug-2026,Client_EDUC_29,paid
INV-EDUC-00030,ORD-EDUC-EX-00030,"₹ 74,985.00",05-Aug-2026,Client_EDUC_30,paid
INV-EDUC-00031,ORD-EDUC-EX-00031,"₹ 77,450.00",06-Aug-2026,Client_EDUC_31,paid
INV-EDUC-00032,ORD-EDUC-EX-00032,"₹ 79,915.00",07-Aug-2026,Client_EDUC_32,paid
INV-EDUC-00033,ORD-EDUC-EX-00033,"₹ 82,380.00",08-Aug-2026,Client_EDUC_33,paid
INV-EDUC-00034,ORD-EDUC-EX-00034,"₹ 84,845.00",09-Aug-2026,Client_EDUC_34,paid
INV-EDUC-00035,ORD-EDUC-EX-00035,"₹ 87,310.00",10-Aug-2026,Client_EDUC_35,paid
INV-EDUC-00036,ORD-EDUC-EX-00036,"₹ 89,775.00",11-Aug-2026,Client_EDUC_36,paid
INV-EDUC-00037,ORD-EDUC-EX-00037,"₹ 92,240.00",12-Aug-2026,Client_EDUC_37,paid
INV-EDUC-00038,ORD-EDUC-EX-00038,"₹ 94,705.00",13-Aug-2026,Client_EDUC_38,paid
INV-EDUC-00039,ORD-EDUC-EX-00039,"₹ 97,170.00",14-Aug-2026,Client_EDUC_39,paid
INV-EDUC-00040,ORD-EDUC-EX-00040,"₹ 99,635.00",15-Aug-2026,Client_EDUC_40,paid
INV-EDUC-00041,ORD-EDUC-EX-00041,"₹ 102,100.00",16-Aug-2026,Client_EDUC_41,paid
INV-EDUC-00042,ORD-EDUC-EX-00042,"₹ 104,565.00",17-Aug-2026,Client_EDUC_42,paid
INV-EDUC-00043,ORD-EDUC-EX-00043,"₹ 107,030.00",18-Aug-2026,Client_EDUC_43,paid
INV-EDUC-00044,ORD-EDUC-EX-00044,"₹ 109,495.00",19-Aug-2026,Client_EDUC_44,paid
INV-EDUC-00045,ORD-EDUC-EX-00045,"₹ 111,960.00",20-Aug-2026,Client_EDUC_45,paid
INV-EDUC-00046,ORD-EDUC-EX-00046,"₹ 114,425.00",21-Aug-2026,Client_EDUC_46,paid
INV-EDUC-00047,ORD-EDUC-EX-00047,"₹ 116,890.00",22-Aug-2026,Client_EDUC_47,paid
INV-EDUC-00048,ORD-EDUC-EX-00048,"₹ 119,355.00",23-Aug-2026,Client_EDUC_48,paid
INV-EDUC-00049,ORD-EDUC-EX-00049,"₹ 121,820.00",24-Aug-2026,Client_EDUC_49,paid
INV-EDUC-00050,ORD-EDUC-EX-00050,"₹ 124,285.00",25-Aug-2026,Client_EDUC_50,paid
INV-EDUC-00051,ORD-EDUC-EX-00051,"₹ 126,750.00",01-Aug-2026,Client_EDUC_51,paid
INV-EDUC-00052,ORD-EDUC-EX-00052,"₹ 129,215.00",02-Aug-2026,Client_EDUC_52,paid
INV-EDUC-00053,ORD-EDUC-EX-00053,"₹ 131,680.00",03-Aug-2026,Client_EDUC_53,paid
INV-EDUC-00054,ORD-EDUC-EX-00054,"₹ 134,145.00",04-Aug-2026,Client_EDUC_54,paid
INV-EDUC-00055,ORD-EDUC-EX-00055,"₹ 136,610.00",05-Aug-2026,Client_EDUC_55,paid
INV-EDUC-00056,ORD-EDUC-EX-00056,"₹ 139,075.00",06-Aug-2026,Client_EDUC_56,paid
INV-EDUC-00057,ORD-EDUC-EX-00057,"₹ 141,540.00",07-Aug-2026,Client_EDUC_57,paid
INV-EDUC-00058,ORD-EDUC-EX-00058,"₹ 144,005.00",08-Aug-2026,Client_EDUC_58,paid
INV-EDUC-00059,ORD-EDUC-EX-00059,"₹ 146,470.00",09-Aug-2026,Client_EDUC_59,paid
INV-EDUC-00060,ORD-EDUC-EX-00060,"₹ 148,935.00",10-Aug-2026,Client_EDUC_60,paid
